TREDICI VOLTE CAMPION;ALLINGHAM MARGERY;GIALLO
L'ULTIMA EQUAZIONE;ALPERT MARK;THRILLER
RAGAZZE DI RIAD;ALSANEA RAJAA;NARRATIVA ROSA 
I COLORI DELL'ANIMA;ALTEA ROSEMARY;SPIRITUALITA'
IL DONO;ALTEA ROSEMARY;SPIRITUALITA'
LA FORZA CHE E' IN TE;ALTEA ROSEMARY;SPIRITUALITA'
SPIRITO LIBERO;ALTEA ROSEMARY;SPIRITUALITA'
UNA LUNGA SCALA FINO AL CIELO;ALTEA ROSEMARY;SPIRITUALITA'
KONDOR;ALTIERI ALAN;NARRATIVA
L'ULTIMO MURO;ALTIERI ALAN;THRILLER
NIDO DI SPIE;ALTMAN JOHN;NARRATIVA
OCCHI DI DONNA;ALVARO CORRADO;NARRATIVA
DONA FLOR E I SUOI DUE MARITI;AMADO JORGE;NARRATIVA
DUE STORIE DEL PORTO DI BAHIA;AMADO JORGE;NARRATIVA
I GUARDIANI DELLA NOTTE;AMADO JORGE;NARRATIVA
TERESA BATISTA STANCA DI GUERRA;AMADO JORGE;NARRATIVA
TOCAIA GRANDE;AMADO JORGE;NARRATIVA
CACAO ;AMADO JORGE ;NARRATIVA
GABRIELLA GAROFANO E CANNELLA ;AMADO JORGE ;NARRATIVA
SUDORE ;AMADO JORGE ;NARRATIVA
Strenna dell'A.D.A.F.A. per l'anno 1994;Amici dell'Arte;Storia dell'arte
CHE LA FESTA COMINCI;AMMANITI NICCOLO';NARRATIVA
COME DIO COMANDA;AMMANITI NICCOLO';NARRATIVA
IL MOMENTO E' DELICATO;AMMANITI NICCOLO';NARRATIVA
PIGGY E LA BOLLA GIGANTE;ANASTASIO;NARR. BAMBINI
DAWSONS'CREEK INVITO ALLA FESTA;ANDERS C. J.;NARR. RAGAZZI
TRENTOTTO FIABE;ANDERSEN;CLASSICI
TUTTE LE FIABE VOL. I;ANDERSEN HANS CHRISTIAN;NARR. RAGAZZI
TUTTE LE FIABE VOL. II;ANDERSEN HANS CHRISTIAN;NARR. RAGAZZI
LA' DOVE AVVENGONO I MIRACOLI;ANDERSON JOAN WESTER;SPIRITUALITA'
SYMPATHY FOR THE DEVIL;ANDERSON KENT;NARRATIVA
L' INCENDIARIO;ANDERSON LIN;THRILLER
ANIMALI BENE EDUCATI;ANDRAS TASNADI ;NARR. BAMBINI
LA VITA DIGITALE;ANDREOLI VITTORINO;NARRATIVA
SETTE MAMME PER CAMILLA;ANFOUSSE GINETTE;NARR. RAGAZZI
LA SFIDA DEL SECOLO;ANGELA PIERO;NARRATIVA
IN VIAGGIO CON PERTINI;ANGELINI CLAUDIO;STORIA
LA SPECIE UMANA;ANTELME;CLASSICI
MIO NONNO JACK LO SQUARTATORE;APONE CLAUDIO;NARR. RAGAZZI
AMICHE DI SALVATAGGIO;APPIANO ALESSANDRA;NARRATIVA ROSA
METAMORFOSI SULLA MAGIA;APULEIO;CLASSICI
Ieri e oggi: Satiricon;Arbitro Petronio;Personaggi storici
Me recordi - memorie dialettali;Ardigò Erminio;Territorio cremonese/lombardo
Storia dell'arte italiana - vol. I;Argan G.C.;Storia dell'arte
Storia dell'arte italiana - vol. II;Argan G.C.;Storia dell'arte
Storia dell'arte italiana - vol. III;Argan G.C.;Storia dell'arte
TANTE FIABE PER GIOCARE;ARGILLI M.;NARR. RAGAZZI
I FIUMI PROFONDI;ARGUEDAS;CLASSICI
IMMAGINI DELL'UOMO;ARIELLI EMANUELE;PSILOLOGIA
